[2024-05-09 07:17:15,896] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='connect-offsets', numPartitions=25, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='cleanup.policy', value='compact')]): TOPIC_ALREADY_EXISTS (Topic 'connect-offsets' already exists.) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,750] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-11 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,750] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-12 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,750] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-13 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,750] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-14 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,750] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-15 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,751] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-16 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,751] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-17 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,751] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-18 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,751] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-19 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,751] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-20 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
